iter	Passed	Remaining
717	3183	1250
718	3188	1245
719	3192	1241
720	3195	1236
721	3198	1231
722	3201	1226
723	3207	1222
724	3210	1217
725	3214	1213
726	3217	1208
727	3222	1203
728	3225	1199
729	3229	1194
730	3232	1189
731	3237	1185
732	3240	1180
733	3244	1175
734	3247	1170
735	3251	1166
736	3255	1161
737	3258	1156
738	3261	1151
739	3264	1147
740	3269	1142
741	3272	1138
742	3275	1133
743	3278	1128
744	3281	1123
745	3287	1119
746	3290	1114
747	3293	1109
748	3297	1105
749	3302	1100
750	3306	1096
751	3309	1091
752	3313	1086
753	3317	1082
754	3321	1077
755	3324	1073
756	3327	1068
757	3331	1063
758	3335	1059
759	3339	1054
760	3342	1049
761	3346	1045
762	3351	1040
763	3354	1036
764	3357	1031
765	3361	1026
766	3365	1022
767	3368	1017
768	3372	1012
769	3375	1008
770	3380	1004
771	3384	999
772	3387	994
773	3390	990
774	3394	985
775	3398	981
776	3402	976
777	3405	971
778	3408	967
779	3413	962
780	3416	958
781	3420	953
782	3423	948
783	3427	944
784	3431	939
785	3434	935
786	3438	930
787	3441	925
788	3445	921
789	3449	916
790	3452	912
791	3455	907
792	3460	903
793	3464	898
794	3467	894
795	3470	889
796	3474	884
797	3478	880
798	3481	875
799	3484	871
800	3487	866
801	3492	862
802	3496	857
803	3499	853
804	3502	848
805	3507	844
806	3511	839
807	3514	835
808	3517	830
809	3521	825
810	3526	821
811	3529	817
812	3532	812
813	3536	808
814	3541	803
815	3544	799
816	3548	794
817	3552	790
818	3557	786
819	3561	781
820	3564	777
821	3568	772
822	3573	768
823	3576	763
824	3580	759
825	3585	755
826	3589	750
827	3592	746
828	3595	741
829	3599	737
830	3604	733
831	3608	728
832	3611	724
833	3614	719
834	3618	715
835	3622	710
836	3626	706
837	3629	701
838	3634	697
839	3637	692
840	3641	688
841	3645	684
842	3649	679
843	3654	675
844	3658	671
845	3661	666
846	3668	662
847	3671	658
848	3674	653
849	3677	649
850	3682	644
851	3686	640
852	3689	635
853	3692	631
854	3697	627
855	3701	622
856	3704	618
857	3708	613
858	3712	609
859	3716	605
860	3720	600
861	3723	596
862	3726	591
863	3731	587
864	3734	582
865	3738	578
866	3741	573
867	3746	569
868	3749	565
869	3752	560
870	3756	556
871	3760	552
872	3764	547
873	3768	543
874	3771	538
875	3776	534
876	3780	530
877	3783	525
878	3787	521
879	3792	517
880	3796	512
881	3799	508
882	3802	503
883	3806	499
884	3811	495
885	3814	490
886	3817	486
887	3821	481
888	3825	477
889	3830	473
890	3833	468
891	3836	464
892	3842	460
893	3845	456
894	3849	451
895	3852	447
896	3857	442
897	3860	438
898	3863	434
899	3867	429
900	3871	425
901	3875	421
902	3878	416
903	3881	412
904	3885	407
905	3890	403
906	3893	399
907	3896	394
908	3899	390
909	3904	386
910	3907	381
911	3910	377
912	3913	372
913	3916	368
914	3921	364
915	3924	359
916	3927	355
917	3930	351
918	3935	346
919	3939	342
920	3942	338
921	3945	333
922	3950	329
923	3954	325
924	3957	320
925	3960	316
926	3963	312
927	3967	307
928	3970	303
929	3973	299
930	3976	294
931	3979	290
932	3983	286
933	3987	281
934	3990	277
935	3993	273
936	3996	268
937	4000	264
938	4003	260
939	4006	255
940	4009	251
941	4012	247
942	4016	242
943	4020	238
944	4023	234
945	4026	229
946	4029	225
947	4033	221
948	4036	216
949	4039	212
950	4042	208
951	4045	203
952	4050	199
953	4053	195
954	4056	191
955	4059	186
956	4063	182
957	4067	178
958	4070	174
959	4074	169
960	4077	165
961	4081	161
962	4084	156
963	4087	152
